name,use,footprint,partnum,link
esp32-s3-wroom-1u-n16r8,main mcu,,ESP32-S3-WROOM-1U-N16R8,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N16R8/16162641
AZ1117IH-3.3TRG1,Fixed 3.3 V Regulator,SOT-223-3,,
